Date,Ticker,Regime,Score,Buy,Sell,PnL,Result,Reason
2026-02-11,SQQQ,RISK_OFF,63.6,68.88,73.1,21403.83,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-02-12,NVDA,RISK_OFF,66.2,186.94,182.81,-7747.03,LOSS 📉,TAKE_PROFIT/END_OF_DAY
2026-02-12,SOXL,RISK_OFF,62.3,63.1,64.59,8280.25,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-02-12,SQQQ,RISK_OFF,61.8,73.1,72.73,-1774.87,LOSS 📉,TAKE_PROFIT/END_OF_DAY
2026-02-13,SQQQ,RISK_OFF,62.4,72.73,72.96,1107.92,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-02-13,SOXL,RISK_OFF,62.0,64.59,62.65,-10510.51,LOSS 📉,STOP_LOSS(-3%)
2026-02-17,SQQQ,RISK_OFF,62.1,72.96,70.77,-10439.99,LOSS 📉,STOP_LOSS(-3%)
2026-02-17,SOXL,RISK_OFF,62.0,64.35,66.29,10491.38,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-02-18,NVDA,RISK_OFF,65.9,187.98,187.9,-148.11,LOSS 📉,TAKE_PROFIT/END_OF_DAY
2026-02-18,SOXL,RISK_OFF,61.7,66.29,64.3,-10440.37,LOSS 📉,STOP_LOSS(-3%)
2026-02-18,SQQQ,RISK_OFF,61.4,71.4,72.21,3948.03,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-02-19,NVDA,RISK_OFF,65.5,187.9,189.74,3400.85,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-02-19,SOXL,RISK_OFF,61.7,65.23,67.44,11734.45,WIN 📈,TAKE_PROFIT/END_OF_DAY
2026-02-19,SQQQ,RISK_OFF,61.2,72.21,70.04,-10390.57,LOSS 📉,STOP_LOSS(-3%)
